"time,s","alice dist, m","alice elev, rads",alice eff,"bob dist, m","bob elev, rads",bob eff,combined eff,combined loss (dB),Block,QBER (%),Alice Prb. Background,Bob Prb Background,Phi,Xi,Offset
211.0,1869768.9989157044,0.1708144016424884,0.0006065400910238566,1379424.1968686257,0.23249860322756724,0.001345739949489994,8.162452314581011e-07,60.88179342877645,1498501.224778598,9.096230739666792e-05,6.000652605710067e-08,5.8017068104276e-08,0.0,0.0,0.0
210.0,1862768.6683580314,0.1724222308287168,0.0006149388437946724,1372623.6677772945,0.23499091375002695,0.001366784905059576,8.404891292333467e-07,60.7546789929114,1498501.2611315092,9.217727883438639e-05,5.9594329947200986e-08,5.761665757695353e-08,0.0,0.0,0.0
209.0,1855769.8489738693,0.1740380078741507,0.0006234644283544988,1365827.9241262747,0.23750251704449693,0.0013882287541401557,8.655112466252702e-07,60.62727284443052,1498501.2986509793,9.343122657915918e-05,5.9180096259755976e-08,5.7214267730855895e-08,0.0,0.0,0.0
208.0,1848772.566573955,0.17566182129215036,0.0006321191541461787,1359037.0461157076,0.24003368862586605,0.0014100805837766052,8.913389458948174e-07,60.49957117130113,1498501.3373780188,9.472552065162996e-05,5.876380230276388e-08,5.680987652279495e-08,0.0,0.0,0.0
207.0,1841776.8473228891,0.1772937608777385,0.0006409053800115368,1352251.115456844,0.24258470895781736,0.0014323497190567268,9.180006410014694e-07,60.371570155489714,1498501.3773552144,9.606158372250153e-05,5.8345425055645535e-08,5.640346159039993e-08,0.0,0.0,0.0
206.0,1834782.7177456482,0.17893391773013434,0.0006498255153990452,1345470.2154071867,0.24515586355563776,0.001455045729991161,9.455258414206861e-07,60.24326597296947,1498501.4186267941,9.744089330590467e-05,5.792494116346741e-08,5.5995000246505586e-08,0.0,0.0,0.0
205.0,1827790.204734243,0.18058238427574455,0.000658882021604436,1338694.430806568,0.24774744309130214,0.0014781784386029054,9.73945197918771e-07,60.1146547937504,1498501.4612386979,9.88649840507424e-05,5.750232693104744e-08,5.558446947342664e-08,0.0,0.0,0.0
204.0,1820799.33555452,0.18223925429162702,0.0006680774130452603,1331923.8481141857,0.2503597435008834,0.0015017579262327472,1.0032905503777886e-06,59.9857327819326,1498501.5052386464,0.00010033545013464625,5.70775583169397e-08,5.5171845917114335e-08,0.0,0.0,0.0
203.0,1813810.1378531132,0.18390462292942922,0.0006774142585703815,1325158.5554466275,0.25299306609432487,0.0015257945410670196,1.0335949777676505e-06,59.8564960957838,1498501.5506762173,0.00010185394776540422,5.6650610927297336e-08,5.4757105881194874e-08,0.0,0.0,0.0
202.0,1806822.6396645447,0.18557858673982355,0.0006868951828054811,1318398.6426169104,0.2556477176676362,0.0015502989058942937,1.0648928503673983e-06,59.72694088784165,1498501.5976029243,0.0001034221977949677,5.6221460009608125e-08,5.4340225320884216e-08,0.0,0.0,0.0
201.0,1799836.869418484,0.18726124369743993,0.0006965228675356308,1311644.201174568,0.2583240106175482,0.0015752819260977378,1.0972198843426479e-06,59.59706330504222,1498501.6460722974,0.00010504198845139074,5.579008044630256e-08,5.392117983677875e-08,0.0,0.0,0.0
